Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
8.17,0.181,4.092,3
8.18,0.198,4.135,3
8.19,0.183,4.113,3
8.2,0.191,4.135,3
8.21,0.188,4.117,3
8.22,0.19,4.153,3
8.23,0.184,4.108,3
8.24,0.149,4.165,3
8.25,0.184,4.092,3
8.26,0.153,4.177,3
8.27,0.174,4.102,3
8.28,0.158,4.182,3
8.29,0.175,4.102,3
8.3,0.166,4.168,3
8.31,0.168,4.125,3
8.32,0.164,4.15,3
8.33,0.168,4.137,3
8.34,0.176,4.13,3
8.35,0.169,4.133,3
8.36,0.22,4.125,3
8.37,0.178,4.128,3
8.38,0.17,4.13,3
8.39,0.168,4.12,3
8.4,0.173,4.142,3
8.41,0.17,4.128,3
8.42,0.183,4.14,3
8.43,0.158,4.153,3
8.44,0.198,4.122,3
8.45,0.165,4.165,3
8.46,0.187,4.092,3
8.47,0.16,4.18,3
8.48,0.177,4.095,3
8.49,0.159,4.185,3
8.5,0.182,4.113,3
8.51,-0.467,4.113,0
8.52,-0.382,3.363,0
8.53,-0.324,2.858,0
8.54,-0.287,2.525,0
8.55,-0.264,2.29,0
8.56,-0.249,2.09,0
8.57,-0.22,1.925,0
8.58,-0.203,1.723,0
8.59,-0.196,1.643,0
8.6,-0.171,1.497,0
8.61,-0.163,1.373,0
8.62,-0.146,1.277,0
8.63,-0.141,1.197,0
8.64,-0.126,1.09,0
8.65,-0.117,1,0
8.66,-0.111,0.918,0
8.67,-0.095,0.835,0
8.68,-0.091,0.777,0
8.69,-0.086,0.72,0
8.7,-0.079,0.653,0
8.71,-0.071,0.595,0
8.72,-0.065,0.55,0
8.73,-0.06,0.49,0
8.74,-0.055,0.44,0
8.75,-0.049,0.397,0
8.76,-0.045,0.362,0
8.77,-0.04,0.327,0
8.78,-0.04,0.292,0
8.79,-0.034,0.27,0
8.8,-0.03,0.233,0
8.81,-0.027,0.207,0
8.82,-0.024,0.18,0
8.83,-0.021,0.155,0
8.84,-0.019,0.127,0
8.85,-0.015,0.098,0
8.86,-0.013,0.078,0
8.87,-0.01,0.052,0
8.88,-0.007,0.035,0
8.89,-0.006,0.018,0
8.9,-0.004,0.005,0
8.91,-0.003,0,0
8.92,-0.003,0,0
8.93,-0.002,0,0
8.94,-0.004,0.003,0
8.95,-0.003,0,0
8.96,-0.004,0.003,0
8.97,-0.003,0,0
8.98,-0.003,0.003,0
8.99,-0.003,0,0
9,-0.004,0,0
9.01,-0.004,0,0
9.02,-0.003,0.003,0
9.03,-0.003,-0.003,0
