Tiempo ;Entrada;Angulo;Posicion
16.34;0;-0.515;0.267
16.36;0;-0.524;0.267
16.38;0;-0.524;0.267
16.4;0;-0.518;0.267
16.42;0;-0.504;0.267
16.44;0;-0.483;0.267
16.46;0;-0.456;0.267
16.48;0;-0.421;0.267
16.5;0;-0.379;0.267
16.52;0;-0.335;0.267
16.54;0;-0.284;0.267
16.56;0;-0.23;0.267
16.58;0;-0.173;0.267
16.6;0;-0.112;0.267
16.62;0;-0.051;0.267
16.64;0;0.012;0.267
16.66;0;0.073;0.267
16.68;0;0.133;0.267
16.7;0;0.192;0.267
16.72;0;0.248;0.267
16.74;0;0.3;0.267
16.76;0;0.349;0.267
16.78;0;0.393;0.267
16.8;0;0.431;0.267
16.82;0;0.461;0.267
16.84;0;0.487;0.267
16.86;0;0.504;0.267
16.88;0;0.515;0.267
16.9;0;0.518;0.267
16.92;0;0.517;0.267
16.94;0;0.506;0.267
16.96;0;0.489;0.267
16.98;0;0.463;0.267
17;0;0.431;0.267
17.02;0;0.394;0.267
17.04;0;0.351;0.267
17.06;0;0.302;0.267
17.08;0;0.25;0.267
17.1;0;0.194;0.267
17.12;0;0.134;0.267
17.14;0;0.075;0.267
17.16;0;0.014;0.267
17.18;0;-0.047;0.267
17.2;0;-0.108;0.267
17.22;0;-0.169;0.267
17.24;0;-0.225;0.267
17.26;0;-0.279;0.267
17.28;0;-0.328;0.267
17.3;0;-0.374;0.267
17.32;0;-0.412;0.267
17.34;0;-0.447;0.267
17.36;0;-0.475;0.267
17.38;0;-0.496;0.267
17.4;0;-0.511;0.267
17.42;0;-0.517;0.267
17.44;0;-0.518;0.267
17.46;0;-0.511;0.267
17.48;0;-0.496;0.267
17.5;0;-0.475;0.267
17.52;0;-0.447;0.267
17.54;0;-0.412;0.267
17.56;0;-0.372;0.267
17.58;0;-0.326;0.267
17.6;0;-0.276;0.267
17.62;0;-0.222;0.267
17.64;0;-0.164;0.267
17.66;0;-0.105;0.267
17.68;0;-0.045;0.267
17.7;0;0.016;0.267
17.72;0;0.077;0.267
17.74;0;0.136;0.267
17.76;0;0.194;0.267
17.78;0;0.25;0.267
17.8;0;0.3;0.267
17.82;0;0.349;0.267
17.84;0;0.391;0.267
17.86;0;0.428;0.267
17.88;0;0.457;0.267
17.9;0;0.482;0.267
17.92;0;0.499;0.267
17.94;0;0.51;0.267
17.96;0;0.513;0.267
17.98;0;0.51;0.267
18;0;0.497;0.267
18.02;0;0.48;0.267
18.04;0;0.456;0.267
18.06;0;0.424;0.267
18.08;0;0.386;0.267
18.1;0;0.344;0.267
18.12;0;0.295;0.267
18.14;0;0.243;0.267
18.16;0;0.187;0.267
18.18;0;0.129;0.267
18.2;0;0.07;0.267
18.22;0;0.009;0.267
18.24;0;-0.052;0.267
18.26;0;-0.113;0.267
18.28;0;-0.171;0.267
18.3;0;-0.227;0.267
18.32;0;-0.279;0.267
18.34;0;-0.328;0.267
18.36;0;-0.372;0.267
18.38;0;-0.41;0.267
18.4;0;-0.443;0.267
18.42;0;-0.471;0.267
18.44;0;-0.49;0.267
18.46;0;-0.504;0.267
18.48;0;-0.511;0.267
18.5;0;-0.511;0.267
18.52;0;-0.504;0.267
18.54;0;-0.489;0.267
18.56;0;-0.466;0.267
18.58;0;-0.438;0.267
18.6;0;-0.403;0.267
18.62;0;-0.363;0.267
18.64;0;-0.318;0.267
18.66;0;-0.267;0.267
18.68;0;-0.215;0.267
18.7;0;-0.157;0.267
18.72;0;-0.099;0.267
18.74;0;-0.04;0.267
18.76;0;0.021;0.267
18.78;0;0.08;0.267
18.8;0;0.14;0.267
18.82;0;0.195;0.267
18.84;0;0.25;0.267
18.86;0;0.3;0.267
18.88;0;0.347;0.267
18.9;0;0.389;0.267
18.92;0;0.424;0.267
18.94;0;0.454;0.267
18.96;0;0.478;0.267
18.98;0;0.494;0.267
19;0;0.503;0.267
19.02;0;0.506;0.267
19.04;0;0.503;0.267
19.06;0;0.49;0.267
19.08;0;0.471;0.267
19.1;0;0.447;0.267
19.12;0;0.415;0.267
19.14;0;0.379;0.267
19.16;0;0.335;0.267
19.18;0;0.288;0.267
19.2;0;0.236;0.267
19.22;0;0.182;0.267
19.24;0;0.124;0.267
