Tiempo ,ANGULO,ENTRADA,ESTIMULO,PERTURBA
14.4,0.504,0.8,0.8,0
14.42,0.504,0.8,0.8,0
14.44,0.506,0.8,0.8,0
14.46,0.506,0.8,0.8,0
14.48,0.507,0.8,0.8,0
14.5,0.507,0.8,0.8,0
14.52,0.507,0.8,0.8,0
14.54,0.507,0.8,0.8,0
14.56,0.509,0.8,0.8,0
14.58,0.509,0.8,0.8,0
14.6,0.509,0.8,0.8,0
14.62,0.511,0.8,0.8,0
14.64,0.511,0.8,0.8,0
14.66,0.511,0.8,0.8,0
14.68,0.513,0.8,0.8,0
14.7,0.513,0.8,0.8,0
14.72,0.513,0.8,0.8,0
14.74,0.514,0.8,0.8,0
14.76,0.514,0.8,0.8,0
14.78,0.514,0.8,0.8,0
14.8,0.516,0.8,0.8,0
14.82,0.516,0.8,0.8,0
14.84,0.516,0.8,0.8,0
14.86,0.516,0.8,0.8,0
14.88,0.518,0.8,0.8,0
14.9,0.518,0.8,0.8,0
14.92,0.518,0.8,0.8,0
14.94,0.518,0.8,0.8,0
14.96,0.52,0.8,0.8,0
14.98,0.52,0.8,0.8,0
15,0.52,0.8,0.8,0
15.02,0.52,0.8,0.8,0
15.04,0.52,0.8,0.8,0
15.06,0.52,0.8,0.8,0
15.08,0.518,0.8,0.8,0
15.1,0.518,0.8,0.8,0
15.12,0.518,0.8,0.8,0
15.14,0.518,0.8,0.8,0
15.16,0.518,0.8,0.8,0
15.18,0.516,0.8,0.8,0
15.2,0.516,0.8,0.8,0
15.22,0.516,0.8,0.8,0
15.24,0.516,0.8,0.8,0
15.26,0.514,0.8,0.8,0
15.28,0.514,0.8,0.8,0
15.3,0.514,0.8,0.8,0
15.32,0.514,0.8,0.8,0
15.34,0.514,0.8,0.8,0
15.36,0.513,0.8,0.8,0
15.38,0.513,0.8,0.8,0
15.4,0.513,0.8,0.8,0
15.42,0.511,0.8,0.8,0
15.44,0.511,0.8,0.8,0
15.46,0.511,0.8,0.8,0
15.48,0.511,0.8,0.8,0
15.5,0.509,0.8,0.8,0
15.52,0.509,0.8,0.8,0
15.54,0.509,0.8,0.8,0
15.56,0.507,0.8,0.8,0
15.58,0.507,0.8,0.8,0
15.6,0.507,0.8,0.8,0
15.62,0.506,0.8,0.8,0
15.64,0.506,0.8,0.8,0
15.66,0.506,0.8,0.8,0
15.68,0.506,0.8,0.8,0
15.7,0.504,0.8,0.8,0
15.72,0.504,0.8,0.8,0
15.74,0.504,0.8,0.8,0
15.76,0.504,0.8,0.8,0
15.78,0.504,0.8,0.8,0
15.8,0.504,0.8,0.8,0
